# Global Ionospheric Radio Observatory
# GIRO Tabulated Ionospheric Characteristics, Version 1.0 Revision B
# Generated by DIDBGetValues on 2023-09-18T01:07:09.277Z
#
# Location: GEO 23.0N 72.5E, URSI-Code AH223 AHMEDABAD
# Instrument: Ionosonde, Model: DPS-4D
#
# Query for measurement intervals of time:
# 2012-07-02T21:00:00.000Z - 2013-07-02T21:00:00.000Z
#
# Data Selection:
# CS is Autoscaling Confidence Score (from 0 to 100, 999 if manual scaling, -1 if unknown)
# foE [MHz] - E layer critical frequency
#
# All GIRO measurements are released under CC-BY-NC-SA 4.0 license
# Please follow the Lowell GIRO Data Center RULES OF THE ROAD
# https://ulcar.uml.edu/DIDBase/RulesOfTheRoadForDIDBase.htm
# Requires acknowledgement of AH223 data provider
#
#Time                     CS   foE QD
2012-07-05T12:52:30.000Z  95  2.38 /_
2012-07-05T13:00:00.000Z  95  2.36 /_
2012-07-05T13:07:30.000Z  95  2.20 //
2012-07-05T13:15:00.000Z  85  2.11 //
2012-07-05T13:22:30.000Z  85  1.96 //
2012-07-05T13:30:00.000Z  80  1.86 //
2012-07-05T13:37:30.000Z  80  1.65 //
2012-07-05T13:45:00.000Z  80  1.65 //
2012-07-06T00:45:00.000Z  65  1.73 //
2012-07-06T00:52:30.000Z  95  1.75 //
2012-07-06T01:00:00.000Z  95  1.86 //
2012-07-06T01:07:30.000Z 100  2.01 //
2012-07-06T01:15:00.000Z  90  2.13 //
2012-07-06T01:22:30.000Z  90  2.33 //
2012-07-06T01:30:00.000Z  95  2.40 //
2012-07-06T01:37:30.000Z  85  2.48 //
2012-07-06T01:45:00.000Z  95  2.51 //
2012-07-06T01:52:30.000Z  95  2.63 //
2012-07-06T02:07:30.000Z  80  2.68 //
2012-07-06T02:15:00.000Z  90  2.68 //
2012-07-06T02:22:30.000Z  95  2.86 //
2012-07-06T02:30:00.000Z  90  2.95 //
2012-07-06T02:37:30.000Z  95  2.88 //
2012-07-06T02:45:00.000Z  95  3.03 //
2012-07-06T02:52:30.000Z  95  3.01 //
2012-07-06T03:00:00.000Z  95  3.08 //
2012-07-06T03:07:30.000Z  95  3.03 //
2012-07-06T03:15:00.000Z 100  3.15 //
2012-07-06T03:22:30.000Z  95  3.15 //
2012-07-06T03:30:00.000Z 100  3.23 //
2012-07-06T03:37:30.000Z 100  3.18 //
2012-07-06T03:45:00.000Z  90  3.38 //
2012-07-06T03:52:30.000Z  90  3.40 //
