# Global Ionospheric Radio Observatory
# GIRO Tabulated Ionospheric Characteristics, Version 1.0 Revision B
# Generated by DIDBGetValues on 2023-12-06T00:50:48.480Z
#
# Location: GEO 62.38N 215.0E, URSI-Code GA762 GAKONA
# Instrument: Ionosonde, Model: DPS-4D
#
# Query for measurement intervals of time:
# 2012-01-01T00:01:00.000Z - 2013-01-01T00:00:00.000Z
#
# Data Selection:
# CS is Autoscaling Confidence Score (from 0 to 100, 999 if manual scaling, -1 if unknown)
# foF2 [MHz] - F2 layer critical frequency
# foEs [MHz] - Es layer critical frequency
#
# All GIRO measurements are released under CC-BY-NC-SA 4.0 license
# Please follow the Lowell GIRO Data Center RULES OF THE ROAD
# https://ulcar.uml.edu/DIDBase/RulesOfTheRoadForDIDBase.htm
# Requires acknowledgement of GA762 data provider
#
#Time                     CS   foF2 QD  foEs QD
2012-01-01T17:52:13.000Z  70  2.675 //   --- __
2012-01-01T17:59:42.000Z  70  3.125 //   --- __
2012-01-01T18:07:11.000Z  60  3.350 //   --- __
2012-01-01T18:14:40.000Z   0  3.450 //   --- __
2012-01-01T18:22:09.000Z  60  3.900 //   --- __
2012-01-01T18:29:38.000Z  70  4.163 //   --- __
2012-01-01T18:37:07.000Z  70  4.363 //   --- __
2012-01-01T18:52:05.000Z  40  3.850 //   --- __
2012-01-01T18:59:34.000Z  70  4.950 //   --- __
2012-01-01T19:07:03.000Z  20  4.626 //   --- __
2012-01-01T19:14:32.000Z  60  5.807 //   --- __
2012-01-01T19:22:01.000Z  70  5.500 //  2.08 //
2012-01-01T19:29:30.000Z  80  5.775 //   --- __
2012-01-01T19:36:59.000Z  70  5.900 //   --- __
2012-01-01T19:44:28.000Z  20  5.576 //  2.17 //
2012-01-01T19:51:57.000Z  60  5.813 //   --- __
2012-01-01T20:06:55.000Z  40  5.663 //   --- __
2012-01-01T20:14:24.000Z  80  6.463 //   --- __
2012-01-01T20:21:53.000Z  50  6.350 //  2.40 //
2012-01-01T20:29:22.000Z  60  5.800 //   --- __
2012-01-01T20:36:51.000Z  70  6.475 //   --- __
2012-01-01T20:44:20.000Z  80  7.675 //   --- __
2012-01-01T20:51:49.000Z  80  8.050 //   --- __
2012-01-01T20:59:17.000Z   0  8.175 //   --- __
2012-01-01T21:06:46.000Z  70  8.150 //   --- __
2012-01-01T21:29:13.000Z  90  8.688 //   --- __
2012-01-01T21:36:42.000Z  90  8.750 //   --- __
2012-01-01T21:44:11.000Z  85  8.738 //  1.77 //
2012-01-01T21:51:40.000Z  80  9.225 //  2.03 //
2012-01-01T21:59:09.000Z  90  9.350 //   --- __
2012-01-01T22:06:38.000Z  90  9.325 //   --- __
2012-01-01T22:14:07.000Z  60  8.788 //   --- __
2012-01-01T22:21:36.000Z  80  9.275 //   --- __
2012-01-01T22:29:05.000Z  60  9.288 //   --- __
2012-01-01T22:36:34.000Z   0  9.150 //  1.85 //
2012-01-01T22:44:03.000Z  60  9.150 //  2.97 //
2012-01-01T22:51:32.000Z  80  8.750 //  1.92 //
2012-01-01T22:59:01.000Z  90  8.800 //   --- __
2012-01-01T23:06:30.000Z  90  8.675 //  2.03 //
2012-01-01T23:13:59.000Z  70  8.521 //   --- __
2012-01-01T23:21:28.000Z  90  8.400 //   --- __
2012-01-01T23:28:57.000Z  90  8.100 //   --- __
2012-01-01T23:36:26.000Z  90  7.850 //   --- __
2012-01-01T23:43:55.000Z  90  7.663 //   --- __
2012-01-01T23:51:24.000Z  80  7.663 //   --- __
2012-01-01T23:58:53.000Z  20  5.025 //   --- __
2012-01-02T00:06:22.000Z  40  6.788 //   --- __
2012-01-02T00:13:51.000Z  60  6.300 //   --- __
2012-01-02T00:28:49.000Z  80  7.275 //   --- __
2012-01-02T00:36:18.000Z  40  6.238 //   --- __
2012-01-02T00:43:47.000Z  60  6.500 //   --- __
2012-01-02T00:51:16.000Z  70  5.188 //   --- __
2012-01-02T00:58:45.000Z  80  6.500 //   --- __
2012-01-02T01:06:14.000Z  40  5.400 //   --- __
2012-01-02T01:13:43.000Z  20  4.188 //   --- __
2012-01-02T01:21:12.000Z  20  4.275 //   --- __
2012-01-02T01:28:41.000Z  60  5.400 //   --- __
2012-01-02T01:36:10.000Z  20  4.575 //   --- __
2012-01-02T01:43:39.000Z  60  3.800 //   --- __
2012-01-02T01:51:08.000Z  80  5.750 //   --- __
2012-01-02T01:58:36.000Z  60  5.400 //   --- __
2012-01-02T02:06:05.000Z  70  4.925 //   --- __
2012-01-02T02:13:34.000Z  50  5.125 //   --- __
2012-01-02T02:21:03.000Z   0  4.575 //   --- __
2012-01-02T02:28:32.000Z  60  4.525 //   --- __
2012-01-02T02:36:01.000Z  20  3.100 //   --- __
2012-01-02T02:43:30.000Z  60  4.225 //   --- __
2012-01-02T02:50:59.000Z  70  3.925 //   --- __
2012-01-02T02:58:28.000Z  70  3.750 //   --- __
2012-01-02T03:05:57.000Z  60  3.825 //   --- __
2012-01-02T03:13:26.000Z  40  3.025 //   --- __
2012-01-02T03:20:55.000Z  70  3.075 //   --- __
2012-01-02T03:35:53.000Z  70  2.825 //   --- __
2012-01-02T03:45:00.000Z  60  2.925 //   --- __
2012-01-02T04:00:00.000Z  30  1.575 //   --- __
2012-01-02T04:07:30.000Z  25  1.900 //   --- __
2012-01-02T04:15:00.000Z  50  2.075 //   --- __
2012-01-02T04:30:00.000Z  65  1.975 //   --- __
2012-01-02T04:45:00.000Z  65  1.800 //   --- __
2012-01-02T04:52:30.000Z  65  1.725 //   --- __
2012-01-02T05:00:00.000Z  40  1.800 //   --- __
2012-01-02T05:07:30.000Z  65  1.725 //   --- __
2012-01-02T05:15:00.000Z  45  1.750 //   --- __
2012-01-02T05:22:30.000Z  45  1.800 //   --- __
2012-01-02T05:30:00.000Z  65  1.725 //   --- __
2012-01-02T05:37:30.000Z  45  1.600 //  2.03 //
2012-01-02T05:45:00.000Z  70  1.475 //   --- __
2012-01-02T06:00:00.000Z  70  1.525 //   --- __
2012-01-02T06:15:00.000Z  50  1.875 //   --- __
2012-01-02T06:22:30.000Z  25  1.450 //  2.25 //
2012-01-02T06:30:00.000Z  65  1.450 //   --- __
2012-01-02T06:37:30.000Z  50  1.450 //   --- __
2012-01-02T06:45:00.000Z  50  1.500 //   --- __
2012-01-02T06:52:30.000Z  70  1.500 //   --- __
2012-01-02T07:00:00.000Z  65  1.575 //   --- __
2012-01-02T07:15:00.000Z  40  1.575 //  2.53 //
2012-01-02T07:22:30.000Z  25    --- __  2.08 //
2012-01-02T07:30:00.000Z  45  1.775 //   --- __
2012-01-02T07:37:30.000Z  65  1.525 //   --- __
2012-01-02T07:52:30.000Z  65  1.450 //   --- __
2012-01-02T08:07:30.000Z   5  1.575 //  2.03 //
2012-01-02T08:15:00.000Z  45  1.450 //   --- __
2012-01-02T08:22:30.000Z  70  1.550 //   --- __
2012-01-02T08:30:00.000Z  75    --- __  2.97 //
2012-01-02T08:37:30.000Z  65  1.525 //   --- __
2012-01-02T08:45:00.000Z  70  1.525 //   --- __
2012-01-02T08:52:30.000Z  65  1.575 //   --- __
2012-01-02T09:00:00.000Z  25  1.550 //  2.03 //
2012-01-02T09:07:30.000Z  40  1.550 //  2.60 //
2012-01-02T09:15:00.000Z  45  1.550 //  2.58 //
2012-01-02T09:22:30.000Z  40  1.650 //  1.92 //
2012-01-02T09:30:00.000Z  65  1.575 //   --- __
2012-01-02T09:37:30.000Z  40  1.550 //  2.25 //
2012-01-02T09:52:30.000Z  65  1.800 //   --- __
2012-01-02T10:00:00.000Z  20  1.775 //  1.95 //
2012-01-02T10:07:30.000Z  20  1.650 //  2.75 //
2012-01-02T10:15:00.000Z  20  1.650 //  2.22 //
2012-01-02T10:22:30.000Z  65  1.625 //   --- __
2012-01-02T10:30:00.000Z  70  1.575 //   --- __
2012-01-02T10:37:30.000Z  75    --- __  1.67 //
2012-01-02T10:45:00.000Z  75    --- __  2.05 //
2012-01-02T10:52:30.000Z  75    --- __  1.77 //
2012-01-02T11:00:00.000Z  75    --- __  2.88 //
2012-01-02T11:07:30.000Z  20    --- __  2.20 //
2012-01-02T11:15:00.000Z  75    --- __  3.15 //
2012-01-02T11:22:30.000Z  75    --- __  2.17 //
2012-01-02T11:30:00.000Z  75    --- __  2.25 //
2012-01-02T11:45:00.000Z  75    --- __  2.90 //
2012-01-02T11:52:30.000Z  75    --- __  3.20 //
2012-01-02T12:00:00.000Z  75    --- __  2.17 //
2012-01-02T12:07:30.000Z  75    --- __  2.17 //
2012-01-02T12:37:30.000Z  75    --- __  1.80 //
2012-01-02T12:45:00.000Z  75    --- __  2.10 //
2012-01-02T12:52:30.000Z  75    --- __  2.55 //
2012-01-02T13:00:00.000Z  75    --- __  2.15 //
2012-01-02T13:15:00.000Z  75    --- __  2.10 //
2012-01-02T13:22:30.000Z  75    --- __  2.25 //
2012-01-02T13:30:00.000Z  75    --- __  2.25 //
2012-01-02T16:37:23.000Z  40  2.925 //   --- __
2012-01-02T16:44:52.000Z  60  4.225 //   --- __
2012-01-02T16:52:21.000Z  25  2.525 //  3.03 //
2012-01-02T16:59:50.000Z   0  1.700 //  1.83 //
2012-01-02T22:51:32.000Z  60  7.750 //   --- __
2012-01-02T22:59:01.000Z  85  9.438 //   --- __
2012-01-02T23:06:30.000Z  80  8.788 //   --- __
2012-01-02T23:13:59.000Z  95  8.788 //  1.77 //
2012-01-02T23:28:57.000Z   0  8.650 //   --- __
2012-01-02T23:36:26.000Z  95  8.650 //   --- __
2012-01-02T23:43:55.000Z   0  8.400 //   --- __
2012-01-02T23:51:24.000Z  90  8.050 //   --- __
2012-01-02T23:58:53.000Z  80  7.800 //   --- __
2012-01-03T00:06:22.000Z  80  8.050 //   --- __
2012-01-03T00:13:51.000Z  80  8.175 //   --- __
2012-01-03T00:21:20.000Z  80  8.100 //   --- __
2012-01-03T00:28:49.000Z  80  7.887 //   --- __
2012-01-03T00:36:18.000Z   0  7.900 //   --- __
2012-01-03T00:43:47.000Z  80  7.963 //   --- __
2012-01-03T00:51:16.000Z   0  7.900 //   --- __
2012-01-03T00:58:45.000Z  80  7.750 //   --- __
2012-01-03T01:06:14.000Z  80  7.625 //   --- __
2012-01-03T01:13:43.000Z   0  7.525 //   --- __
2012-01-03T01:21:12.000Z  80  7.475 //   --- __
2012-01-03T01:28:41.000Z   0  7.550 //   --- __
2012-01-03T01:36:10.000Z   0  7.250 //   --- __
2012-01-03T01:43:39.000Z  60  7.225 //   --- __
2012-01-03T01:51:08.000Z  60  7.100 //   --- __
2012-01-03T01:58:36.000Z  60  7.075 //   --- __
2012-01-03T02:06:05.000Z  60  6.600 //   --- __
2012-01-03T02:13:34.000Z  80  5.375 //   --- __
2012-01-03T02:21:03.000Z  60  5.900 //   --- __
2012-01-03T02:28:32.000Z  80  6.475 //   --- __
2012-01-03T02:36:01.000Z  80  6.450 //   --- __
2012-01-03T02:43:30.000Z  60  6.175 //  2.03 //
2012-01-03T02:50:59.000Z  60  6.100 //   --- __
2012-01-03T02:58:28.000Z  60  5.450 //   --- __
2012-01-03T03:05:57.000Z  40  5.325 //   --- __
2012-01-03T03:13:26.000Z  60  5.800 //   --- __
2012-01-03T03:20:55.000Z  70  5.400 //   --- __
2012-01-03T03:35:53.000Z  60  4.600 //   --- __
2012-01-03T03:45:00.000Z  70  4.575 //   --- __
2012-01-03T03:52:30.000Z  20  3.600 //   --- __
2012-01-03T04:00:00.000Z  70  3.675 //   --- __
2012-01-03T04:07:30.000Z  70  3.300 //   --- __
2012-01-03T04:15:00.000Z  70  3.200 //   --- __
2012-01-03T04:22:30.000Z  55  3.175 //  3.80 //
2012-01-03T04:30:00.000Z  70    --- __  3.63 //
2012-01-03T04:37:30.000Z  75    --- __  3.38 //
2012-01-03T04:45:00.000Z  75    --- __  4.22 //
2012-01-03T05:00:00.000Z  75    --- __  4.18 //
2012-01-03T05:07:30.000Z  75    --- __  4.20 //
2012-01-03T05:15:00.000Z  75    --- __  3.10 //
2012-01-03T05:22:30.000Z  70    --- __  4.25 //
2012-01-03T05:30:00.000Z   0  4.275 //  4.43 //
2012-01-03T05:37:30.000Z  60  4.025 //  1.73 //
2012-01-03T05:45:00.000Z   0  3.525 //   --- __
2012-01-03T05:52:30.000Z  70  4.300 //   --- __
2012-01-03T06:00:00.000Z  65  4.300 //   --- __
2012-01-03T06:07:30.000Z  65  3.675 //   --- __
2012-01-03T06:15:00.000Z  60  3.725 //   --- __
2012-01-03T06:22:30.000Z   0  3.375 //   --- __
2012-01-03T06:30:00.000Z  70  3.050 //   --- __
2012-01-03T06:37:30.000Z  70  3.125 //   --- __
2012-01-03T06:45:00.000Z  65  3.100 //   --- __
2012-01-03T06:52:30.000Z  70  2.950 //  1.63 //
2012-01-03T07:00:00.000Z  60  3.175 //   --- __
2012-01-03T07:07:30.000Z  70  3.125 //   --- __
2012-01-03T07:15:00.000Z  70  3.150 //  1.92 //
2012-01-03T07:22:30.000Z  70  3.375 //  1.88 //
2012-01-03T07:30:00.000Z  20  3.225 //   --- __
2012-01-03T07:37:30.000Z   0  3.650 //   --- __
2012-01-03T07:45:00.000Z   0  3.200 //   --- __
2012-01-03T07:52:30.000Z   0  4.350 //  2.30 //
2012-01-03T08:00:00.000Z  60  4.450 //   --- __
2012-01-03T08:15:00.000Z  65  3.850 //  3.15 //
2012-01-03T08:22:30.000Z  20    --- __  3.15 //
2012-01-03T08:30:00.000Z   0  3.950 //   --- __
2012-01-03T08:37:30.000Z  60  4.100 //   --- __
2012-01-03T08:45:00.000Z  60  3.350 //  2.50 //
2012-01-03T08:52:30.000Z   0  3.325 //  2.42 //
2012-01-03T09:00:00.000Z  25  3.925 //  3.05 //
2012-01-03T09:07:30.000Z   0  3.875 //  2.88 //
2012-01-03T09:15:00.000Z  20  3.575 //  3.08 //
2012-01-03T09:22:30.000Z   0  3.550 //  2.72 //
2012-01-03T09:30:00.000Z   0  3.950 //  3.33 //
2012-01-03T09:37:30.000Z   0  4.050 //  3.60 //
2012-01-03T09:45:00.000Z  75    --- __  3.35 //
2012-01-03T09:52:30.000Z   0  3.300 //  3.08 //
2012-01-03T10:00:00.000Z  75    --- __  3.38 //
2012-01-03T10:07:30.000Z  75    --- __  4.30 //
2012-01-03T10:15:00.000Z   0  3.575 //  3.05 //
2012-01-03T10:22:30.000Z  75    --- __  3.60 //
2012-01-03T10:30:00.000Z  75    --- __  3.53 //
2012-01-03T10:37:30.000Z  75    --- __  4.00 //
2012-01-03T10:45:00.000Z  20    --- __  4.28 //
2012-01-03T10:52:30.000Z  75    --- __  2.58 //
2012-01-03T11:00:00.000Z  75    --- __  2.97 //
2012-01-03T11:07:30.000Z  70    --- __  3.60 //
2012-01-03T11:15:00.000Z  70    --- __  3.72 //
2012-01-03T11:22:30.000Z  70    --- __  3.80 //
2012-01-03T11:30:00.000Z  70    --- __  3.88 //
2012-01-03T11:37:30.000Z  20    --- __  3.95 //
2012-01-03T11:45:00.000Z   0  4.000 //  2.30 //
2012-01-03T11:52:30.000Z   0  3.875 //  3.22 //
2012-01-03T12:00:00.000Z  25  3.275 //  3.90 //
2012-01-03T12:07:30.000Z  20    --- __  3.10 //
2012-01-03T12:15:00.000Z   0  3.775 //  3.38 //
2012-01-03T12:22:30.000Z   0  3.850 //  3.60 //
2012-01-03T12:30:00.000Z   0  3.575 //  2.92 //
2012-01-03T12:37:30.000Z   0  3.675 //  4.15 //
2012-01-03T12:45:00.000Z  20  3.225 //  2.78 //
2012-01-03T12:52:30.000Z  20    --- __  3.38 //
2012-01-03T13:00:00.000Z   0  3.725 //  3.60 //
2012-01-03T13:07:30.000Z  15  3.450 //  3.03 //
2012-01-03T13:15:00.000Z  15  3.800 //  2.95 //
2012-01-03T13:37:30.000Z  20  3.350 //  3.38 //
2012-01-03T13:45:00.000Z  20  3.300 //  3.10 //
2012-01-03T13:52:30.000Z  40  3.375 //  2.90 //
2012-01-03T14:00:00.000Z  40  3.525 //  3.08 //
2012-01-03T14:07:30.000Z  40  3.125 //  2.25 //
2012-01-03T14:15:00.000Z  15  3.175 //  3.38 //
2012-01-03T14:22:30.000Z  70    --- __  2.90 //
2012-01-03T14:30:00.000Z  70    --- __  3.85 //
2012-01-03T14:37:30.000Z  75    --- __  3.83 //
2012-01-03T14:45:00.000Z  20  3.250 //  3.33 //
2012-01-03T14:52:30.000Z  20  3.150 //  2.95 //
2012-01-03T15:00:00.000Z  20    --- __  3.30 //
2012-01-03T15:07:30.000Z  40  3.100 //  2.85 //
2012-01-03T15:15:00.000Z  40  3.400 //  2.53 //
2012-01-03T15:22:30.000Z  20  2.900 //  4.00 //
2012-01-03T15:30:00.000Z  25    --- __  3.58 //
2012-01-03T15:37:30.000Z  40  3.750 //  2.35 //
2012-01-03T15:45:00.000Z  75    --- __  3.60 //
2012-01-03T15:52:30.000Z  40  3.175 //  2.20 //
2012-01-03T16:07:27.000Z  40  3.025 //  2.83 //
2012-01-03T16:14:56.000Z  40  3.175 //  2.42 //
2012-01-03T16:22:25.000Z  65  3.275 //   --- __
2012-01-03T16:29:54.000Z  65  2.950 //   --- __
2012-01-03T16:37:23.000Z  70  3.125 //  2.35 //
2012-01-03T16:44:52.000Z  70  2.950 //   --- __
2012-01-03T16:52:21.000Z  60  3.050 //   --- __
2012-01-03T16:59:50.000Z  70  3.000 //   --- __
2012-01-03T17:07:19.000Z  60  2.475 //   --- __
2012-01-03T17:14:48.000Z  70  2.700 //   --- __
2012-01-03T17:22:17.000Z  70  2.775 //   --- __
2012-01-03T17:29:46.000Z  70  2.700 //   --- __
2012-01-03T17:37:15.000Z  70  2.450 //   --- __
2012-01-03T17:44:44.000Z  70  2.775 //   --- __
2012-01-03T17:52:13.000Z  70  2.850 //   --- __
2012-01-03T17:59:42.000Z  40  2.875 //   --- __
2012-01-03T18:07:11.000Z  70  3.025 //   --- __
2012-01-03T18:14:40.000Z  70  3.288 //   --- __
2012-01-03T18:22:09.000Z  80  3.575 //   --- __
2012-01-03T18:29:38.000Z  60  3.650 //   --- __
2012-01-03T18:37:07.000Z  80  3.825 //   --- __
2012-01-03T18:44:36.000Z  80  3.925 //   --- __
2012-01-03T18:52:05.000Z  80  4.275 //   --- __
2012-01-03T18:59:34.000Z  70  4.350 //   --- __
2012-01-03T19:07:03.000Z  80  4.525 //   --- __
2012-01-03T19:14:32.000Z  70  4.675 //   --- __
2012-01-03T19:22:01.000Z  90  4.900 //   --- __
2012-01-03T19:29:30.000Z  70  4.975 //  1.77 //
2012-01-03T19:36:59.000Z  90  5.038 //   --- __
2012-01-03T19:44:28.000Z  80  5.225 //   --- __
2012-01-03T19:51:57.000Z  80  5.200 //   --- __
2012-01-03T19:59:26.000Z  80  5.300 //   --- __
2012-01-03T20:06:55.000Z  40  4.807 //   --- __
2012-01-03T20:14:24.000Z  80  5.813 //   --- __
2012-01-03T20:21:53.000Z  90  5.825 //   --- __
2012-01-03T20:29:22.000Z  40  5.182 //   --- __
2012-01-03T20:36:51.000Z  40  5.538 //   --- __
