# Global Ionospheric Radio Observatory
# GIRO Tabulated Ionospheric Characteristics, Version 1.0 Revision B
# Generated by DIDBGetValues on 2023-11-07T00:41:09.117Z
#
# Location: GEO 62.38N 215.0E, URSI-Code GA762 GAKONA
# Instrument: Ionosonde, Model: DPS-4D
#
# Query for measurement intervals of time:
# 2012-01-01T21:00:00.000Z - 2012-12-31T03:00:00.000Z
#
# Data Selection:
# CS is Autoscaling Confidence Score (from 0 to 100, 999 if manual scaling, -1 if unknown)
# hE [km] - Minimum virtual height of E trace
#
# All GIRO measurements are released under CC-BY-NC-SA 4.0 license
# Please follow the Lowell GIRO Data Center RULES OF THE ROAD
# https://ulcar.uml.edu/DIDBase/RulesOfTheRoadForDIDBase.htm
# Requires acknowledgement of GA762 data provider
#
#Time                     CS     hE QD
2012-01-18T23:15:00.000Z  75   83.9 //
2012-01-18T23:30:00.000Z  60  138.0 //
2012-01-19T00:00:00.000Z   0  136.0 //
2012-01-19T18:45:00.000Z  65  109.8 //
2012-01-19T18:52:30.000Z  70  118.8 //
2012-01-19T19:00:00.000Z  40  107.7 //
2012-01-19T19:07:30.000Z  70  113.0 //
2012-01-19T19:15:00.000Z  40  102.0 //
2012-01-19T19:22:30.000Z  70  102.0 //
2012-01-19T19:30:00.000Z  80   99.7 //
2012-01-19T19:37:30.000Z  70  102.0 //
2012-01-19T19:45:00.000Z  40  103.0 //
2012-01-19T19:52:30.000Z  60  105.9 //
2012-01-19T20:00:00.000Z  70  106.0 //
2012-01-19T20:07:30.000Z  60  166.0 //
2012-01-19T20:15:00.000Z  20  111.0 //
2012-01-19T20:22:30.000Z  80  107.0 //
2012-01-19T20:30:00.000Z  80  109.0 //
2012-01-19T20:37:30.000Z   0  110.0 //
2012-01-19T20:45:00.000Z  80  112.0 //
2012-01-19T20:52:30.000Z  80  110.0 //
2012-01-19T21:00:00.000Z  80  106.0 //
2012-01-19T21:07:30.000Z  80  111.5 //
2012-01-19T21:15:00.000Z  80   98.5 //
2012-01-19T21:22:30.000Z  65  110.6 //
2012-01-19T21:30:00.000Z   0   89.6 //
2012-01-19T21:37:30.000Z  80  103.0 //
2012-01-19T21:45:00.000Z   0  103.0 //
2012-01-19T21:52:30.000Z   0  100.0 //
2012-01-19T22:07:30.000Z   0  129.0 //
2012-01-19T22:15:00.000Z  80  117.2 //
2012-01-19T22:22:30.000Z  80  100.5 //
2012-01-19T22:30:00.000Z  80   86.3 //
2012-01-19T22:37:30.000Z  45  101.9 //
2012-01-19T23:00:00.000Z  80  137.0 //
2012-01-19T23:22:30.000Z  40   85.7 //
2012-01-19T23:45:00.000Z  80  142.0 //
2012-01-19T23:52:30.000Z  80  119.4 //
2012-01-20T00:00:00.000Z  80  112.0 //
2012-01-20T00:07:30.000Z  90  109.0 //
2012-01-20T00:15:00.000Z   0  109.7 //
2012-01-20T00:30:00.000Z  60  113.0 //
2012-01-20T18:52:30.000Z  70  107.0 //
2012-01-20T19:00:00.000Z  70   98.7 //
2012-01-20T19:07:30.000Z  70  107.0 //
2012-01-20T20:00:00.000Z  90  106.0 //
2012-01-20T20:07:30.000Z  95   94.0 //
2012-01-20T20:15:00.000Z  95  106.6 //
2012-01-20T20:22:30.000Z  90  104.3 //
2012-01-20T20:30:00.000Z  90  107.0 //
2012-01-20T20:37:30.000Z  90  103.0 //
2012-01-20T20:52:30.000Z  90   99.0 //
2012-01-20T21:00:00.000Z  90  100.0 //
2012-01-20T21:07:30.000Z  90   99.0 //
2012-01-20T21:15:00.000Z  90   98.7 //
2012-01-20T21:22:30.000Z  95   98.3 //
2012-01-20T21:30:00.000Z  95   96.0 //
2012-01-20T21:37:30.000Z  80   91.2 //
2012-01-20T21:45:00.000Z  95   97.4 //
2012-01-20T21:52:30.000Z  80  100.0 //
2012-01-20T22:00:00.000Z  70   86.0 //
2012-01-20T22:07:30.000Z  95   99.0 //
2012-01-20T22:15:00.000Z  75   97.1 //
2012-01-20T22:22:30.000Z  95   99.9 //
2012-01-20T22:30:00.000Z   0  101.0 //
2012-01-20T22:37:30.000Z  95   96.5 //
2012-01-20T22:45:00.000Z  75   90.9 //
2012-01-20T22:52:30.000Z   0   92.3 //
2012-01-20T23:00:00.000Z   0   91.9 //
2012-01-20T23:07:30.000Z  75   94.8 //
2012-01-20T23:15:00.000Z  95   87.6 //
2012-01-20T23:30:00.000Z  95   91.8 //
2012-01-20T23:37:30.000Z  95   88.4 //
2012-01-20T23:45:00.000Z  75   96.0 //
2012-01-21T00:07:30.000Z  80   96.0 //
2012-01-21T00:22:30.000Z  70   91.7 //
2012-01-21T00:45:00.000Z  90   98.0 //
2012-01-21T18:37:30.000Z  20  104.7 //
2012-01-21T18:45:00.000Z   0  109.0 //
2012-01-21T18:52:30.000Z  70  106.9 //
2012-01-21T19:00:00.000Z  60  109.0 //
2012-01-21T19:07:30.000Z  60  108.0 //
2012-01-21T19:15:00.000Z  80  103.6 //
2012-01-21T19:22:30.000Z  60  104.7 //
2012-01-21T19:30:00.000Z  80  105.7 //
2012-01-21T19:37:30.000Z  40  103.0 //
2012-01-21T19:45:00.000Z  60   99.3 //
2012-01-21T19:52:30.000Z  60  104.0 //
2012-01-21T20:00:00.000Z  60  104.4 //
2012-01-21T20:07:30.000Z  80  100.9 //
2012-01-21T20:15:00.000Z  40  100.0 //
2012-01-21T20:22:30.000Z  60  102.4 //
2012-01-21T20:30:00.000Z  80  109.0 //
2012-01-21T20:37:30.000Z  60  106.0 //
2012-01-21T20:45:00.000Z  80  103.0 //
2012-01-21T20:52:30.000Z  40  103.5 //
2012-01-21T21:00:00.000Z  40  101.4 //
2012-01-21T21:07:30.000Z  20  105.0 //
2012-01-21T21:15:00.000Z  60  104.0 //
2012-01-21T21:22:30.000Z  20  103.3 //
2012-01-21T21:30:00.000Z  80  102.0 //
2012-01-21T21:37:30.000Z  60  101.0 //
2012-01-21T21:45:00.000Z  90  100.2 //
2012-01-21T21:52:30.000Z  90  101.0 //
2012-01-21T22:00:00.000Z  80   95.7 //
2012-01-21T22:07:30.000Z  80   99.4 //
2012-01-21T22:15:00.000Z  80   96.3 //
2012-01-21T22:22:30.000Z  80   99.0 //
2012-01-21T22:30:00.000Z   0  105.0 //
2012-01-21T22:52:30.000Z  80  105.0 //
2012-01-21T23:07:30.000Z  60  132.0 //
2012-01-21T23:15:00.000Z  80  110.0 //
2012-01-21T23:30:00.000Z  80   98.0 //
2012-01-21T23:37:30.000Z  80  135.0 //
2012-01-21T23:52:30.000Z  40   99.8 //
2012-01-22T00:00:00.000Z  80   98.0 //
2012-01-22T00:07:30.000Z  80   97.4 //
2012-01-22T00:15:00.000Z  40   99.0 //
2012-01-22T00:37:30.000Z  70   95.1 //
2012-01-22T01:00:00.000Z  20   96.0 //
2012-01-22T23:30:00.000Z  65   82.7 //
2012-01-23T19:52:30.000Z  70   88.9 //
2012-01-23T20:22:30.000Z  65   89.8 //
2012-01-23T21:37:30.000Z  70   87.6 //
2012-01-24T00:00:00.000Z  75   86.9 //
2012-01-24T18:45:00.000Z  75  101.1 //
2012-01-24T19:52:30.000Z  50   83.5 //
2012-01-24T20:00:00.000Z  75   82.3 //
2012-01-24T20:30:00.000Z  50   85.2 //
2012-01-24T21:30:00.000Z  75   87.4 //
2012-01-24T22:22:30.000Z  75   83.2 //
2012-01-25T00:00:00.000Z  65  112.8 //
2012-01-25T19:00:00.000Z  25   85.2 //
2012-01-25T19:52:30.000Z  90  116.9 //
2012-01-25T20:15:00.000Z  60   82.9 //
2012-01-25T20:37:30.000Z  90   84.8 //
2012-01-25T20:52:30.000Z  40   85.2 //
2012-01-26T19:15:00.000Z  70  117.7 //
2012-01-26T20:00:00.000Z  90   84.9 //
2012-01-26T20:45:00.000Z  40   81.5 //
2012-01-26T20:52:30.000Z  70   82.3 //
2012-01-26T21:07:30.000Z  60   84.6 //
2012-01-26T22:22:30.000Z  40   82.0 //
2012-01-26T22:45:00.000Z  60   84.0 //
2012-01-26T22:52:30.000Z  90   79.5 //
2012-01-26T23:00:00.000Z  90   87.4 //
2012-01-26T23:22:30.000Z  95   84.1 //
2012-01-27T01:22:30.000Z  70   89.9 //
2012-01-27T19:37:30.000Z  65   84.7 //
2012-01-27T19:52:30.000Z  60  101.0 //
2012-01-27T21:15:00.000Z  60   85.2 //
2012-01-27T21:30:00.000Z  95   81.8 //
2012-01-27T22:22:30.000Z 100   82.7 //
2012-01-27T22:30:00.000Z  80   81.5 //
2012-01-27T23:00:00.000Z  95   82.7 //
2012-01-28T19:15:00.000Z  80   87.4 //
2012-01-28T22:30:00.000Z  95   87.9 //
2012-01-28T23:37:30.000Z  65   97.5 //
2012-01-29T00:00:00.000Z  45   82.3 //
2012-01-29T19:30:00.000Z  80   82.5 //
2012-01-29T20:37:30.000Z  60   89.0 //
2012-01-29T22:15:00.000Z  20   81.8 //
2012-01-29T22:45:00.000Z  40   83.0 //
2012-01-29T23:07:30.000Z  95   81.3 //
2012-01-29T23:30:00.000Z  90   86.1 //
2012-01-30T01:07:30.000Z  60  101.4 //
2012-01-30T01:22:30.000Z  80   83.1 //
2012-01-30T20:07:30.000Z  50  101.3 //
2012-01-30T21:52:30.000Z  75   81.4 //
2012-01-30T22:07:30.000Z  65   78.8 //
2012-01-31T19:22:30.000Z  60  108.3 //
2012-01-31T19:37:30.000Z  70  108.0 //
2012-01-31T20:07:30.000Z   0  104.0 //
2012-01-31T20:22:30.000Z  90  105.0 //
2012-01-31T20:30:00.000Z  90   99.3 //
2012-01-31T20:52:30.000Z  70   90.2 //
2012-01-31T21:52:30.000Z  70   98.8 //
2012-01-31T22:07:30.000Z  50   98.0 //
2012-01-31T22:15:00.000Z  60   97.2 //
2012-01-31T22:22:30.000Z  90   93.2 //
2012-01-31T22:30:00.000Z  90   98.0 //
2012-01-31T22:45:00.000Z  80   97.0 //
2012-01-31T22:52:30.000Z  60   98.0 //
2012-01-31T23:00:00.000Z  80   93.4 //
2012-01-31T23:07:30.000Z  60   96.0 //
2012-01-31T23:15:00.000Z  90   88.6 //
2012-01-31T23:22:30.000Z  80   94.4 //
2012-01-31T23:30:00.000Z  80   95.6 //
2012-01-31T23:37:30.000Z  80   94.0 //
2012-01-31T23:45:00.000Z  80   93.6 //
2012-01-31T23:52:30.000Z  80   94.1 //
2012-02-01T00:00:00.000Z  60   88.4 //
2012-02-01T00:07:30.000Z  80   93.4 //
2012-02-01T00:22:30.000Z  60   94.7 //
2012-02-01T00:37:30.000Z  20   96.0 //
2012-02-01T00:45:00.000Z  20   87.6 //
2012-02-01T00:52:30.000Z  80   94.0 //
2012-02-01T01:07:30.000Z  40   98.0 //
2012-02-01T01:15:00.000Z  60   93.6 //
2012-02-01T01:30:00.000Z  80   90.1 //
2012-02-01T01:37:30.000Z  40   90.9 //
2012-02-01T18:22:30.000Z  80  110.0 //
2012-02-01T18:30:00.000Z  60  108.0 //
2012-02-01T18:45:00.000Z  80  107.0 //
2012-02-01T18:52:30.000Z  40  104.0 //
2012-02-01T19:00:00.000Z  80  106.9 //
2012-02-01T19:07:30.000Z  60  105.0 //
2012-02-01T19:15:00.000Z  80  103.5 //
2012-02-01T19:22:30.000Z  40  106.0 //
2012-02-01T19:30:00.000Z  80  100.9 //
2012-02-01T19:37:30.000Z  80  107.0 //
2012-02-01T19:45:00.000Z  80  108.0 //
2012-02-01T19:52:30.000Z  80  103.0 //
2012-02-01T20:00:00.000Z  80  102.2 //
2012-02-01T20:07:30.000Z  60  102.5 //
2012-02-01T20:15:00.000Z  80  102.0 //
2012-02-01T20:22:30.000Z  60  103.0 //
2012-02-01T20:30:00.000Z  60  103.0 //
2012-02-01T20:37:30.000Z  20  110.7 //
2012-02-01T20:45:00.000Z  40   90.0 //
2012-02-01T20:52:30.000Z  40   92.0 //
2012-02-01T21:00:00.000Z  40  123.0 //
2012-02-01T21:07:30.000Z  40  110.6 //
2012-02-01T21:30:00.000Z  90   88.8 //
2012-02-01T21:37:30.000Z  90  115.6 //
2012-02-01T21:45:00.000Z   0   85.0 //
2012-02-01T21:52:30.000Z  70   89.0 //
2012-02-01T22:00:00.000Z  90  109.8 //
2012-02-01T22:07:30.000Z  90  121.0 //
2012-02-01T22:15:00.000Z  90   96.0 //
2012-02-01T22:22:30.000Z  90  111.9 //
2012-02-01T22:30:00.000Z   0  111.1 //
2012-02-01T22:37:30.000Z   0  115.0 //
2012-02-01T22:45:00.000Z  90  115.0 //
2012-02-01T23:00:00.000Z   0  118.0 //
2012-02-01T23:07:30.000Z  90  108.3 //
2012-02-01T23:15:00.000Z  90  114.7 //
2012-02-01T23:22:30.000Z  90  120.0 //
2012-02-01T23:37:30.000Z  70  118.6 //
2012-02-01T23:52:30.000Z   0  115.0 //
